* These two reactions were added to the model
METt2rpp	1.0 met_L_p + 1.0 h_p <==> 1.0 met_L_c + 1.0 h_c	(rxn manually added to the model)	
GLNt2rpp	1.0 gln_L_p + 1.0 h_p <==> 1.0 gln_L_c + 1.0 h_c	(rxn manually added to the model)	

3OAS161	1.0 h_c + 1.0 tdeACP_c + 1.0 malACP_c --> 1.0 3ocpalm9eACP_c + 1.0 ACP_c + 1.0 co2_c	b2323
3OAS180	1.0 h_c + 1.0 palmACP_c + 1.0 malACP_c --> 1.0 co2_c + 1.0 3ooctdACP_c + 1.0 ACP_c	(b1095 or b2323)
3OAS181	1.0 h_c + 1.0 hdeACP_c + 1.0 malACP_c --> 1.0 co2_c + 1.0 3ocvac11eACP_c + 1.0 ACP_c	b1095
3OAS60	1.0 h_c + 1.0 butACP_c + 1.0 malACP_c --> 1.0 co2_c + 1.0 3ohexACP_c + 1.0 ACP_c	(b1095 or b2323)
3OAS80	1.0 h_c + 1.0 hexACP_c + 1.0 malACP_c --> 1.0 3ooctACP_c + 1.0 ACP_c + 1.0 co2_c	(b2323 or b1095)
3OXCOAT	1.0 coa_c + 1.0 oxadpcoa_c --> 1.0 accoa_c + 1.0 succoa_c	b1397
3PEPTabcpp	1.0 h2o_c + 1.0 LalaDgluMdap_p + 1.0 atp_c --> 1.0 LalaDgluMdap_c + 1.0 pi_c + 1.0 adp_c + 1.0 h_c	(b1329 and b1244 and b1245 and b1246 and b1247)
3PEPTtex	1.0 LalaDgluMdap_e <==> 1.0 LalaDgluMdap_p	(b0241 or b0929 or b1377 or b2215)
3UMPtex	1.0 3ump_e <==> 1.0 3ump_p	(b0241 or b0929 or b1377 or b2215)
42A12BOOXpp	1.0 dopa_p + 1.0 o2_p + 1.0 h2o_p --> 1.0 h2o2_p + 1.0 34dhpac_p + 1.0 nh4_p	b1386
4HOXPACDtex	1.0 4hoxpacd_e <==> 1.0 4hoxpacd_p	(b0241 or b0929 or b1377 or b2215)
4HTHRS	1.0 h2o_c + 1.0 phthr_c --> 1.0 4hthr_c + 1.0 pi_c	b0004
4PCP	1.0 LalaDgluMdapDala_c + 1.0 h2o_c --> 1.0 LalaDgluMdap_c + 1.0 ala_D_c	b1192
4PCPpp	1.0 h2o_p + 1.0 LalaDgluMdapDala_p --> 1.0 ala_D_p + 1.0 LalaDgluMdap_p	
4PEPTabcpp	1.0 h2o_c + 1.0 LalaDgluMdapDala_p + 1.0 atp_c --> 1.0 LalaDgluMdapDala_c + 1.0 pi_c + 1.0 adp_c + 1.0 h_c	(b1243 and b1244 and b1245 and b1246 and b1247)
4PEPTtex	1.0 LalaDgluMdapDala_e <==> 1.0 LalaDgluMdapDala_p	(b0241 or b0929 or b1377 or b2215)
5DGLCNR	1.0 h_c + 1.0 5dglcn_c + 1.0 nadph_c <==> 1.0 nadp_c + 1.0 glcn_c	b4266
5DGLCNt2rpp	1.0 5dglcn_p + 1.0 h_p <==> 1.0 h_c + 1.0 5dglcn_c	b4265
5DGLCNtex	1.0 5dglcn_e <==> 1.0 5dglcn_p	(b0241 or b0929 or b2215 or b1377)
5DOAN	1.0 h2o_c + 1.0 dad_5_c --> 1.0 5drib_c + 1.0 ade_c	b0159
5MTRtex	1.0 5mtr_e <==> 1.0 5mtr_p	(b1377 or b0929 or b2215 or b0241)
5MTRtpp	1.0 h_c + 1.0 5mtr_c --> 1.0 5mtr_p + 1.0 h_p	
A5PISO	1.0 ru5p_D_c <==> 1.0 ara5p_c	(b3197 or b2708)
AACPS1	1.0 ttdca_c + 1.0 ACP_c + 1.0 atp_c --> 1.0 myrsACP_c + 1.0 amp_c + 1.0 ppi_c	(b2836 and b1094)
AACPS2	1.0 ttdcea_c + 1.0 ACP_c + 1.0 atp_c --> 1.0 tdeACP_c + 1.0 amp_c + 1.0 ppi_c	(b2836 and b1094)
AACPS3	1.0 hdca_c + 1.0 ACP_c + 1.0 atp_c --> 1.0 palmACP_c + 1.0 amp_c + 1.0 ppi_c	(b2836 and b1094)
AACPS4	1.0 hdcea_c + 1.0 ACP_c + 1.0 atp_c --> 1.0 ppi_c + 1.0 amp_c + 1.0 hdeACP_c	(b2836 and b1094)
AACPS5	1.0 ocdcea_c + 1.0 ACP_c + 1.0 atp_c --> 1.0 octeACP_c + 1.0 amp_c + 1.0 ppi_c	(b2836 and b1094)
AACPS6	1.0 ACP_c + 1.0 ocdca_c + 1.0 atp_c --> 1.0 ocdcaACP_c + 1.0 amp_c + 1.0 ppi_c	(b2836 and b1094)
AACPS7	1.0 ddca_c + 1.0 ACP_c + 1.0 atp_c --> 1.0 ppi_c + 1.0 amp_c + 1.0 ddcaACP_c	(b2836 and b1094)
AACPS8	1.0 dca_c + 1.0 ACP_c + 1.0 atp_c --> 1.0 dcaACP_c + 1.0 amp_c + 1.0 ppi_c	(b2836 and b1094)
AACPS9	1.0 octa_c + 1.0 ACP_c + 1.0 atp_c --> 1.0 ocACP_c + 1.0 amp_c + 1.0 ppi_c	(b2836 and b1094)
AACTOOR	1.0 aact_c + 1.0 o2_c + 1.0 h2o_c --> 1.0 nh4_c + 1.0 h2o2_c + 1.0 mthgxl_c	
AADDGT	1.0 dtdp4aaddg_c + 1.0 unagamu_c --> 1.0 h_c + 1.0 dtdp_c + 1.0 unagamuf_c	b4481
AAMYL	1.0 14glucan_c --> 1.0 malthx_c	b1927
AAMYLpp	1.0 14glucan_p --> 1.0 malthx_p	b3571
AB6PGH	1.0 h2o_c + 1.0 arbt6p_c --> 1.0 g6p_c + 1.0 hqn_c	b2901
ABTA	1.0 4abut_c + 1.0 akg_c --> 1.0 glu_L_c + 1.0 sucsal_c	(b2662 or b1302)
ABUTD	1.0 4abutn_c + 1.0 nad_c + 1.0 h2o_c --> 2.0 h_c + 1.0 4abut_c + 1.0 nadh_c	b1444
ABUTt2pp	1.0 4abut_p + 1.0 h_p --> 1.0 h_c + 1.0 4abut_c	b2663
ABUTtex	1.0 4abut_e <==> 1.0 4abut_p	(b0241 or b0929 or b1377 or b2215)
ACACCT	1.0 acac_c + 1.0 accoa_c --> 1.0 ac_c + 1.0 aacoa_c	(b2221 and b2222)
ACACT1r	2.0 accoa_c <==> 1.0 aacoa_c + 1.0 coa_c	(b2224 or b2342 or b3845)
ACACT2r	1.0 accoa_c + 1.0 btcoa_c <==> 1.0 3ohcoa_c + 1.0 coa_c	(b2342 or b3845)
ACACT3r	1.0 accoa_c + 1.0 hxcoa_c <==> 1.0 3oocoa_c + 1.0 coa_c	(b2342 or b3845)
ACACT4r	1.0 accoa_c + 1.0 occoa_c <==> 1.0 3odcoa_c + 1.0 coa_c	(b2342 or b3845)
ACACT5r	1.0 accoa_c + 1.0 dcacoa_c <==> 1.0 3oddcoa_c + 1.0 coa_c	(b2342 or b3845)
ACACT6r	1.0 accoa_c + 1.0 ddcacoa_c <==> 1.0 3otdcoa_c + 1.0 coa_c	(b2342 or b3845)
ACACT7r	1.0 accoa_c + 1.0 tdcoa_c <==> 1.0 3ohdcoa_c + 1.0 coa_c	(b2342 or b3845)
ACACT8r	1.0 3oodcoa_c + 1.0 coa_c <==> 1.0 accoa_c + 1.0 pmtcoa_c	(b2342 or b3845)
ACACt2pp	1.0 acac_p + 1.0 h_p <==> 1.0 acac_c + 1.0 h_c	b2223
ACACtex	1.0 acac_e <==> 1.0 acac_p	(b0241 or b0929 or b1377 or b2215)
ACALD	1.0 acald_c + 1.0 coa_c + 1.0 nad_c <==> 1.0 accoa_c + 1.0 nadh_c + 1.0 h_c	(b0351 or b1241)
ACALDtex	1.0 acald_e <==> 1.0 acald_p	(b0241 or b0929 or b1377 or b2215)
ACALDtpp	1.0 acald_p <==> 1.0 acald_c	s0001
ACANTHAT	1.0 accoa_c + 1.0 anth_c --> 1.0 acanth_c + 1.0 coa_c	b1463
ACBIPGT	1.0 adocbip_c + 1.0 gtp_c + 1.0 h_c --> 1.0 agdpcbi_c + 1.0 ppi_c	b1993
ACCOAC	1.0 accoa_c + 1.0 atp_c + 1.0 hco3_c --> 1.0 h_c + 1.0 pi_c + 1.0 adp_c + 1.0 malcoa_c	(b0185 and b2316 and b3255 and b3256)
ACCOAL	1.0 ppa_c + 1.0 atp_c + 1.0 coa_c --> 1.0 ppcoa_c + 1.0 adp_c + 1.0 pi_c	b4069
ACGAL1PPpp	1.0 acgal1p_p + 1.0 h2o_p --> 1.0 pi_p + 1.0 acgal_p	
ACGAL1Ptex	1.0 acgal1p_e <==> 1.0 acgal1p_p	(b0241 or b0929 or b1377 or b2215)
ACGALtex	1.0 acgal_e <==> 1.0 acgal_p	(b0241 or b0929 or b1377 or b2215)
ACGAM1PPpp	1.0 acgam1p_p + 1.0 h2o_p --> 1.0 pi_p + 1.0 acgam_p	
ACGAM1Ptex	1.0 acgam1p_e <==> 1.0 acgam1p_p	(b0241 or b0929 or b1377 or b2215)
ACGAMK	1.0 acgam_c + 1.0 atp_c --> 1.0 h_c + 1.0 acgam6p_c + 1.0 adp_c	b1119
ACGAMT	1.0 udcpp_c + 1.0 uacgam_c --> 1.0 unaga_c + 1.0 ump_c	b3784
ACGAptspp	1.0 acgam_p + 1.0 pep_c --> 1.0 acgam6p_c + 1.0 pyr_c	((b2417 and b1101 and b2415 and b2416) or (b0679 and b2415 and b2416))
ACGAtex	1.0 acgam_e <==> 1.0 acgam_p	(b0241 or b0929 or b1377 or b2215)
ACGK	1.0 acglu_c + 1.0 atp_c --> 1.0 acg5p_c + 1.0 adp_c	b3959
ACGS	1.0 accoa_c + 1.0 glu_L_c --> 1.0 h_c + 1.0 acglu_c + 1.0 coa_c	b2818
ACHBS	1.0 h_c + 1.0 2obut_c + 1.0 pyr_c --> 1.0 2ahbut_c + 1.0 co2_c	((b3670 and b3671) or (b0077 and b0078))
ACKr	1.0 ac_c + 1.0 atp_c <==> 1.0 actp_c + 1.0 adp_c	(b3115 or b2296 or b1849)
ACLS	1.0 h_c + 2.0 pyr_c --> 1.0 alac_S_c + 1.0 co2_c	((b3670 and b3671) or (b0077 and b0078))
ACM6PH	1.0 h2o_c + 1.0 acmum6p_c --> 1.0 lac_D_c + 1.0 acgam6p_c	b2428
ACMAMUT	1.0 unaga_c + 1.0 uacmamu_c --> 1.0 h_c + 1.0 udp_c + 1.0 unagamu_c	b3794
ACMANAptspp	1.0 acmana_p + 1.0 pep_c --> 1.0 acmanap_c + 1.0 pyr_c	(b1817 and b1818 and b1819 and b2415 and b2416)
ACMANAtex	1.0 acmana_e <==> 1.0 acmana_p	(b0241 or b0929 or b1377 or b2215)
ACMUMptspp	1.0 acmum_p + 1.0 pep_c --> 1.0 acmum6p_c + 1.0 pyr_c	(b2417 and b2429 and b2415 and b2416)
ACMUMtex	1.0 acmum_e --> 1.0 acmum_p	(b0241 or b0929 or b1377 or b2215)
ACNAMt2pp	1.0 acnam_p + 1.0 h_p --> 1.0 h_c + 1.0 acnam_c	b3224
ACNAMtex	1.0 acnam_e <==> 1.0 acnam_p	(b4311 or b0929 or b2215)
ACNML	1.0 acnam_c --> 1.0 acmana_c + 1.0 pyr_c	b3225
ACOAD1f	1.0 btcoa_c + 1.0 fad_c <==> 1.0 b2coa_c + 1.0 fadh2_c	b0221
